sec,nanosec,time_s,x,y,z,qx,qy,qz,qw
169,400000000,169.4,24.097252356125075,-23.937304326576204,23.53981980403055,-4.677220084489136e-16,-1.485573477922736e-16,8.758036183704181e-17,1.0
169,500000000,169.5,24.153861550019112,-23.99391352047024,23.596428997924587,-4.677303737463044e-16,-1.4872154343502712e-16,8.763216668642441e-17,1.0
169,600000000,169.6,24.209344220954684,-24.049396191405812,23.65191166886016,-4.677067550795973e-16,-1.4858231154728415e-16,8.767406753524256e-17,1.0
169,700000000,169.7,24.267091259645994,-24.107143230097122,23.70965870755147,-4.677034380985785e-16,-1.487842780832372e-16,8.773194887822048e-17,1.0
169,800000000,169.8,24.324838298337305,-24.164890268788433,23.76740574624278,-4.678295511400075e-16,-1.4881456120516932e-16,8.77813687772999e-17,1.0
169,900000000,169.9,24.38144749223134,-24.22149946268247,23.824014940136816,-4.677862033819053e-16,-1.4879127796350108e-16,8.782741281664209e-17,1.0
170,0,170.0,24.43805668612538,-24.278108656576507,23.880624134030853,-4.67687046316954e-16,-1.4862475128606992e-16,8.787033108934178e-17,1.0
170,100000000,170.1,24.49580372481669,-24.335855695267817,23.938371172722164,-4.676657248036103e-16,-1.4866673701519451e-16,8.791368226701497e-17,1.0
170,200000000,170.2,24.55128639575226,-24.39133836620339,23.993853843657735,-4.678114619043862e-16,-1.4869367266293082e-16,8.795475218312925e-17,1.0
170,300000000,170.3,24.607895589646297,-24.447947560097425,24.050463037551772,-4.677397080493505e-16,-1.4870681183798732e-16,8.801541662490887e-17,1.0
170,400000000,170.4,24.667952283448464,-24.508004253899593,24.11051973135394,-4.677025097504373e-16,-1.4875958537873116e-16,8.806509968488286e-17,1.0
170,500000000,170.5,24.72231975326432,-24.562371723715447,24.164887201169794,-4.677927187593212e-16,-1.4869709467602687e-16,8.811308987506566e-17,1.0
170,600000000,170.6,24.781215958591687,-24.621267929042816,24.223783406497162,-4.677502451392212e-16,-1.4875993774444986e-16,8.816381416848796e-17,1.0
170,700000000,170.7,24.836698629527227,-24.676750599978355,24.279266077432702,-4.677363029769106e-16,-1.4880136781994662e-16,8.821064985441778e-17,1.0
170,800000000,170.8,24.894445668218538,-24.734497638669666,24.337013116124012,-4.677854173353122e-16,-1.4877271100127618e-16,8.825092738279034e-17,1.0
